nitrogen,phosphorus,potassium,temperature,humidity,ph,rainfall,crop,season,waterRequirement
67.33,38.24,53.14,24.68,66.88,5.95,162.28,Rice,Monsoon,High
50.41,39.77,31.69,30.88,76.04,6.18,240.97,Rice,Monsoon,High
37.68,41.69,33.24,20.17,41.28,6.09,130.79,Wheat,Spring,Moderate
60.17,46.11,53.54,25.39,45.23,6.92,141.51,Maize,Summer,High
41.68,39.65,38.12,22.69,54.54,6.85,149.89,Wheat,Spring,Moderate
45.85,58.87,33.5,31.1,67.1,6.35,189.73,Rice,Monsoon,High
53.02,37.7,27.67,24.05,71.27,5.89,175.71,Maize,Summer,High
52.35,45.34,49.37,29.36,52.64,6.86,119.01,Maize,Summer,High
46.54,44.43,36.9,24.07,58.51,6.19,101.07,Wheat,Spring,Moderate
34.88,39.13,33.63,19.94,59.41,6.04,120.95,Wheat,Spring,Moderate
38.49,42.32,27.13,23.12,40.42,6.41,130.09,Wheat,Spring,Moderate
37.84,36.83,31.48,18.8,46.3,6.78,96.42,Wheat,Spring,Moderate
39.15,29.18,23.8,18.94,55.42,6.91,122.71,Wheat,Spring,Moderate
21.63,32.76,19.2,23.19,73.82,7.08,80.23,Soybean,Summer,Moderate
62.97,37.76,57.86,27.97,73.81,6.63,121.6,Rice,Monsoon,High
35.84,34.88,16.65,19.65,63.29,6.92,100.24,Soybean,Summer,Moderate
44.91,51.5,46.5,24.16,64.64,6.5,153.9,Maize,Summer,High
22.05,21.1,34.13,25.94,61.67,6.99,82.34,Soybean,Summer,Moderate
37.4,23.43,27.87,19.54,59.74,7.11,111.48,Soybean,Summer,Moderate
66.4,38.76,32.19,22.16,70.2,6.16,165.38,Rice,Monsoon,High
42.86,41.15,55.72,29.09,67.64,6.48,147.79,Rice,Monsoon,High
53.16,54.79,53.21,29.53,80.67,6.74,125.12,Rice,Monsoon,High
24.13,30.75,32.7,23.08,69.1,6.64,122.0,Soybean,Summer,Moderate
48.18,47.07,39.16,21.06,56.73,6.94,199.23,Maize,Summer,High
40.09,45.95,37.72,24.69,87.01,6.51,123.73,Rice,Monsoon,High
66.13,36.86,28.28,20.14,69.13,5.6,156.24,Maize,Summer,High
46.98,45.45,53.41,25.13,72.79,6.33,231.69,Rice,Monsoon,High
33.97,28.28,27.76,25.99,65.74,6.53,93.88,Wheat,Spring,Moderate
35.11,51.12,42.9,21.51,58.91,5.76,129.91,Maize,Summer,High
39.64,29.69,32.7,26.42,54.2,6.07,119.67,Soybean,Summer,Moderate
42.51,63.49,42.86,26.82,80.0,6.08,148.79,Rice,Monsoon,High
78.84,39.41,30.94,26.96,83.69,6.34,176.5,Rice,Monsoon,High
46.46,35.31,35.1,19.38,51.6,6.85,108.68,Wheat,Spring,Moderate
41.75,54.29,25.58,26.76,69.11,6.43,189.07,Maize,Summer,High
72.62,43.53,38.65,27.65,65.59,5.98,180.89,Rice,Monsoon,High
65.34,50.34,39.97,25.37,62.53,6.11,139.34,Maize,Summer,High
40.85,48.27,33.67,22.05,58.81,6.89,153.45,Maize,Summer,High
64.5,31.78,33.11,24.87,49.8,6.57,182.42,Maize,Summer,High
26.39,31.7,24.96,20.39,63.02,7.18,130.82,Soybean,Summer,Moderate
40.75,33.22,26.39,21.65,59.47,6.43,92.96,Soybean,Summer,Moderate
77.74,45.05,44.02,24.22,71.99,5.98,236.15,Rice,Monsoon,High
38.7,34.14,38.69,28.65,61.8,6.34,194.63,Maize,Summer,High
25.0,26.65,28.35,21.9,66.64,7.23,123.97,Soybean,Summer,Moderate
45.28,40.03,40.35,30.28,62.81,6.24,222.21,Rice,Monsoon,High
41.37,39.11,45.84,29.93,68.99,6.59,111.31,Maize,Summer,High
35.28,31.99,30.35,21.44,62.82,6.23,104.05,Soybean,Summer,Moderate
50.85,41.51,32.74,20.14,50.65,6.53,125.12,Wheat,Spring,Moderate
56.23,28.99,38.24,21.8,58.52,6.04,144.06,Wheat,Spring,Moderate
